EC	log2_fold_change	valor_p_ajustado
1.3.1.42	31.3845890694638	0.004112271822654
1.3.1.75	29.732812877158104	1.4141602687773499e-19
2.7.11.1	13.119393372480001	8.079244134284909e-15
2.7.12.1	13.0950380032766	0.004717756041002
3.2.2.16	12.8907016872494	1.6084345041927697e-13
2.7.11.1	11.5669140730533	0.00014097691685
2.1.1.43	11.378658029275998	6.64600495034081e-08
2.1.1.79	10.937756566370599	0.007732055989938001
1.4.3.21	10.851143476094501	0.007280180092199
3.4.22.14	10.8309078954165	8.858974504848009e-15
6.3.2.19	10.8198308644928	0.0021379874389829997
2.4.1.15,3.1.3.12	10.4777163737704	1.04224170255542e-07
2.7.11.1	10.0844507227223	0.0009074000276980001
6.3.2.19	10.0296072257541	0.00033053769170200004
3.5.3.12	9.43975006316633	0.00019155427473599996
4.1.1.19	8.919597406317962	6.59958402024756e-10
3.1.1.31	8.84409105601841	0.00047291629693000005
1.1.1.3	8.74401676437451	0.000155885369544
3.1.3.16	8.63122934120403	3.0837741546611405e-05
4.3.3.2	8.40599191957334	0.00070572137633
3.4.25.1	8.14547291651372	0.004511469372767
4.2.3.4	8.109258149775059	4.18769340166539e-05
3.2.1.1,3.2.1.141	7.974567656633379	3.3031646451389804e-05
3.4.19.12	7.9253082433710995	1.77959241424329e-05
2.1.1.103	7.92234783424595	4.2338631446125195e-06
1.14.11.2	7.81506973312723	0.001037948446797
6.3.2.19	7.64798599483562	0.0050569225848680005
1.14.13.121	7.5489835945189405	0.005287814141053
1.14.13.121	7.32870712048083	0.000322362833235
3.1.3.16	7.327514041089599	0.007121030665957
3.4.22.16	7.193818543852309	5.58381511631206e-14
3.4.22.16	6.74229508916154	2.41968077563906e-05
3.4.21.83	6.73043757993217	0.0024191933531700002
1.6.5.3	6.436797453869799	0.004410172560369001
3.4.25.1	6.40352973135653	0.000492150145067
2.7.11.1	6.38712195832191	1.33229400102409e-05
1.1.1.219,1.1.1.234	5.906987287568639	0.007917883266902
3.2.1.39	5.60975247632626	0.000316943621389
5.3.4.1	5.59842989823563	0.000954971632643
3.4.23.40	5.57181292928382	0.000659793968592
2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47	5.25711332213346	0.000337648009077
4.1.1.19	5.155372937935651	0.0006002234756790001
2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47	5.0346404156317	9.81875484802082e-06
4.1.1.50	4.50907702063033	0.00020115242668
2.7.11.1	2.84952809920753	3.09758925829516e-05
