EC	log2_fold_change	valor_p_ajustado
3.6.4.12	43.10424071521629	6.29748642196919e-56
2.7.11.1	32.103044789513504	5.712362522829829e-33
1.1.1.331	27.042056202494898	7.20465887470349e-07
2.7.11.1	26.3331203516005	0.0005725257857
2.4.1.324	19.914006305648602	3.59216597754296e-05
2.7.7.3	12.5413611675585	1.54464783464224e-06
1.10.3.9	12.0228744228198	2.09646018489141e-05
3.13.1.1	11.262538884854902	2.1489223448291298e-18
3.1.3.16	10.8211500156431	4.0802225845066e-06
2.7.11.1	10.732336405562402	1.0426039357076102e-09
4.2.1.105,3.1.1.1	10.308208455443198	0.000408235205815
6.3.2.19	10.2525525964541	5.104161303386311e-13
3.4.19.3	10.239923546339499	3.66113946839497e-23
3.1.3.16	10.0277325468921	5.829149417049639e-09
2.6.1.16	10.025855321557302	6.63805572065833e-11
3.5.1.110	10.002456153368401	5.3673713840331196e-14
3.6.4.12	9.88570733141569	5.77861889616722e-06
2.7.11.1	9.83862153137242	6.50782046383182e-06
2.7.7.9	9.70555949118588	1.89587435300455e-23
5.3.99.5	9.48595345875391	4.5845111674679596e-20
2.4.1.15,3.1.3.12	9.4190925096222	5.19256672563452e-06
2.7.12.2	9.20457026421385	0.006484559525902
2.1.1.178	9.040453726012009	1.71610743381233e-05
3.2.1.58	8.91545063919379	5.098013951502059e-12
1.14.13.109	8.88666675914326	2.54734263286021e-06
2.3.1.20	8.87809201701762	4.68499864158151e-09
5.2.1.8	8.77649961834543	0.0035425625951470002
5.3.1.6	8.7743384073293	4.48713371509881e-10
2.3.1.22	8.52516955309358	9.436037372895993e-09
2.7.11.1	8.419739474225741	0.005198741056494999
3.2.1.51	8.264718858918249	5.6545239276829804e-08
3.4.22.6	8.22790892016123	6.89963773459513e-05
2.7.11.1	8.125555615670839	0.000279098385251
2.7.7.6	8.03917097636738	0.006145472420417
2.7.11.1	8.00825764693076	0.001956470639262
2.3.1.74	7.999519883762421	2.46516683999472e-12
1.8.1.8	7.89338501028963	0.002523775152371
6.2.1.1	7.883136600866389	6.06181509034e-05
2.4.1.1	7.75737441097788	0.006059023259093
2.7.1.90	7.728564845495519	0.000270136001016
2.1.1.197	7.66755989433321	7.72976507368357e-08
2.4.2.7	7.606101558418731	2.9597180880619203e-05
1.5.1.3	7.39327553088884	2.3491204136265398e-07
5.3.4.1	7.383463025451059	5.23262333529306e-10
2.4.99.18	7.33398302917423	0.000104484708634
2.4.1.15,3.1.3.12	7.3098497676363	0.000450060786388
1.6.2.2	7.30504885191265	7.5103073728103505e-06
2.7.11.1	7.153963145820531	6.10209187411291e-07
1.2.1.2	7.0895077359022105	1.1920950608072698e-07
1.1.1.86	6.9890647243942094	4.8510500691137796e-05
1.3.3.3	6.96968028784819	4.60331889454482e-06
3.6.4.3	6.8939560322904	0.009694442071469
3.4.25.1	6.7617593785409404	1.59798557431098e-10
3.1.3.74	6.68264795516495	0.000477325935475
3.4.14.10	6.638156155761219	0.004292951021926
2.7.11.1	6.586524358841599	1.4849007989262501e-06
3.5.1.26	6.584019417256219	0.00856372652842
3.4.25.1	6.569476740412219	6.850326688356011e-05
4.4.1.9	6.552531753295179	2.71844863773269e-06
3.1.3.21	6.51456612213416	0.000561091186592
3.1.30.1	6.512155969351991	0.004765033896739
2.7.11.1	6.3549678366873	0.007748723258964
2.7.7.9	6.25571638962976	0.0006799929324419998
3.5.1.16	6.23106334174529	0.0040583234358529995
2.3.1.9	6.217997190729361	1.6608574756782902e-05
1.1.1.82	6.19176969670444	0.00012434835510999998
2.7.11.1	6.173065192943589	0.0031809970497679997
2.1.1.62	6.1152669111878595	0.008951136148749001
3.6.4.8	6.097372630441999	3.22118981734811e-07
2.7.11.1	6.08954371804101	0.005410771472259999
1.16.3.1	6.055518490046951	0.000324077653812
5.2.1.8	6.04484532114806	6.16563272232029e-06
3.1.3.16	5.98666900159948	0.007265918473063001
3.6.1.1	5.879097430453871	0.002256495395777
3.2.1.39	5.8576108560578	0.000103007524787
4.2.1.17	5.82750738108742	1.30393553368291e-06
3.1.4.11,4.6.1.13	5.809675226017901	1.1278006138630099e-05
1.4.3.5	5.74608982650571	0.008556104132610999
4.2.1.17	5.61168144110934	9.89953187410609e-15
3.2.1.20	5.61056370271111	0.0024539490682169997
1.3.1.72	5.51767667640788	0.0009985990728019999
1.14.11.32	5.446542821200549	0.0072830141910359995
5.5.1.4	5.36564914158235	0.00827325422622
3.2.1.22	5.32988261975122	2.76925041565161e-08
3.1.1.26	5.32232199450575	0.001259699919869
3.1.1.1	5.31572315150022	0.008401986062508
1.2.1.70	5.31142303798995	0.000145802262986
3.6.4.4	5.279665273085469	0.007128692586848
6.3.2.19	5.26384485901592	7.522905235916141e-05
2.3.1.99	5.17661260875651	3.6313509078729295e-05
6.3.2.19	5.1648739709677	5.60835968730217e-05
1.2.1.12	5.07608767369034	1.54621102468898e-07
1.2.1.12	5.06838123285114	3.12663715826497e-09
1.8.1.9	5.05973205278328	0.0008154041347060001
1.14.13.21	5.00222278019046	1.36044000052627e-05
3.4.22.1	4.98211759929144	0.001444783005285
3.4.21.25	4.9515279955711105	1.9120956655964898e-05
2.7.7.22,2.7.7.13	4.949363866947429	0.0006186018003709999
2.7.11.1	4.9469217187628205	3.42128235803791e-08
1.17.1.3	4.92220426500448	4.15833367112058e-05
3.3.2.10	4.81674617119105	0.005638776015198002
3.1.3.11	4.68393487842164	0.000152023956781
