EC	log2_fold_change	valor_p_ajustado
2.7.11.1	26.708284605904698	1.3952503958735e-21
1.3.1.75	17.7374495716747	4.29247950543126e-06
3.6.4.12	13.0350610646537	0.00022680577532499998
3.4.23.40	9.23409567730845	7.58557598253808e-10
6.3.2.19	8.62976636911156	0.000979415675728
2.4.1.21	7.61540400951362	0.000409823734756
3.1.3.4	7.264497848222621	0.001341735783387
1.2.4.2	7.2555256220152105	0.001104011538151
6.3.2.19	6.222216341006759	0.00026265438407
2.7.1.40	4.79628746979347	5.373097323053389e-07
2.7.11.1	3.54343530313815	8.14113789756534e-08
