EC	log2_fold_change	valor_p_ajustado
2.7.11.1	28.1261605809535	1.1388964675786298e-24
2.4.1.324	27.431785209757	8.496695690434889e-10
1.1.1.331	26.9327887024971	1.21138866359468e-06
3.5.1.23	25.6691579943395	0.002515156627895
3.6.4.12	20.6707670974648	2.44116339969117e-10
1.3.1.75	19.777497228671898	1.9748668188529398e-08
2.1.1.43	12.6001453968047	1.7969031150910798e-09
3.1.3.16	12.573179863873198	0.000199176801311
4.3.3.2	12.546891502867501	4.18231111525098e-08
3.2.1.39	11.459756236442699	5.4646049960454595e-06
3.2.1.39	10.8411368414377	1.0465449632786199e-07
2.4.1.1	10.5951264965288	5.632798822374871e-05
3.5.1.16	10.538782566896401	9.78603544354251e-08
3.1.3.16	10.425470566216301	1.9231147734505601e-07
4.1.1.19	10.420989648621699	4.8024729746874e-15
2.4.1.207	10.359416151856001	0.0006052887886479999
2.4.2.24	10.222857994643402	0.0012320861964910002
1.14.11.2	10.0289753532168	0.00025870457191599997
1.14.13.121	9.91981684251367	4.4448589800042795e-05
3.4.22.16	9.91733595095016	6.728087826202099e-26
2.7.11.1	9.62379118544832	0.0008011242927949999
3.2.1.39	9.60879887334537	1.57086977374839e-11
3.1.3.3	9.58678302974833	0.009309991637033001
3.4.25.1	9.55936245280173	4.71754638145901e-05
2.7.11.1	9.49175863840205	0.002018114175325
5.4.99.28	9.41589661786809	0.004818632387984001
2.7.11.2	9.34559848164347	3.1318985887361402e-06
3.4.22.16	9.321209395233359	1.01362287884841e-09
2.7.11.1	9.24546346841928	1.0873133453927499e-05
2.4.1.15,3.1.3.12	9.11957344874819	0.0077592533654689995
3.5.3.12	9.067315390080221	0.000297513509611
3.1.1.3	9.00548393660341	7.96693855343908e-08
1.1.1.3	8.71245424862156	0.00013505378838100002
2.4.1.132,2.4.1.257	8.63694676758842	0.0004810872169709999
3.4.25.1	8.49414418938477	1.09234576466415e-12
1.4.3.21	8.48057792444241	0.001489497135855
2.7.1.23,2.7.1.86	8.41296664442912	0.001775159059515
3.5.5.4,3.5.5.1,4.2.1.65	8.406402375254691	6.81030938720849e-05
2.7.1.6,5.1.3.2	8.38707597996159	0.006303953424259
3.1.3.74	8.36318248377658	6.4830472203963405e-06
2.7.11.1	8.34669803016665	5.41006863596768e-11
5.3.3.2	8.26173015913387	0.000150725193919
4.1.1.19	8.19451386722502	2.9797474658691205e-08
1.14.13.121	8.1731708903163	0.008189741901529999
1.11.1.7	8.16897436296674	2.23829262071943e-10
3.3.2.10	8.16883372808174	9.927252443324979e-05
3.4.22.1	8.1396335246595	2.0120375468427502e-08
3.1.1.1	8.135623163762011	0.0012537706112510003
3.4.25.1	8.03431354859883	8.774903808333219e-07
2.5.1.47	7.950104737135151	0.000377684968562
1.1.1.23	7.800941821165191	6.38133948350484e-07
2.7.11.1	7.77047778717534	0.008242583215285999
2.4.1.207	7.76493047359843	5.34966023190661e-05
3.4.22.14	7.76099569447168	1.41625963183936e-07
3.4.19.12	7.746940224491709	2.57374641100434e-05
2.1.1.104	7.7417411295936205	0.002324382500768
1.11.1.7	7.7343746823140895	2.54453177700046e-06
3.2.1.39	7.716958786852221	2.41291888038504e-08
1.3.3.3	7.63560071757905	5.28764834427161e-07
5.3.1.9	7.575552398987741	8.794635967447909e-09
5.1.3.15	7.552387408075781	0.002160830156534
3.4.25.1	7.5359957482065	1.75472880958521e-05
2.7.7.6	7.5158276100305095	0.008421443576033001
4.1.1.33	7.50668037595696	0.006999297883221
2.5.1.52,2.5.1.51,4.2.1.50,2.5.1.47	7.50243705735467	3.7962449432374e-12
1.14.11.9	7.465301711085969	1.72342593439724e-05
2.7.1.21	7.43266541515358	0.006852827797433
