EC	log2_fold_change	valor_p_ajustado
2.7.11.1	31.1497648678822	5.22758238494447e-31
2.4.1.324	28.914850662353302	2.45860908192563e-11
2.1.1.171	14.8561343066604	2.6432820740247897e-05
3.2.1.39	14.3008236744086	1.2519629245331098e-13
3.4.22.14	13.8804024707249	1.5337837065390101e-24
3.6.4.12	13.527224689672899	6.14724190074623e-05
2.3.1.20,2.3.1.22	13.3939816530244	4.91689028988674e-21
3.1.3.3	13.2012603852846	0.000180582274679
1.13.11.5	12.9264226628216	1.15023503946313e-07
3.4.25.1	12.8335140979318	1.14161186779484e-06
1.4.3.21	12.7056429808463	0.000100489557456
3.5.3.12	11.895205013868699	4.2769902645426897e-07
3.2.1.39	11.8671458124119	2.8066288063191697e-18
4.3.3.2	11.5276416118716	3.0767223408396395e-07
2.1.1.43	11.491270868738699	2.5090841366641803e-08
3.1.13.4	11.480408602039098	4.77807747598231e-10
3.1.1.3	11.394968564526698	3.30800984460135e-08
3.5.1.1	11.332864014830198	1.55810136223115e-06
2.1.1.178	11.0278119536877	4.15252401592439e-08
1.10.9.1	11.0117306180651	8.47044672679864e-14
2.1.1.43	10.7418886771369	1.68546411814825e-06
3.4.19.12	10.6589537430505	0.00018775937143300001
1.3.1.42	10.6020744903715	0.0008424358994239999
1.14.13.109	10.520381057118199	8.82825052971001e-09
3.5.1.16	10.3779494533266	7.17243009442239e-08
3.5.1.9	10.3349942281556	8.88105647910247e-11
2.7.11.1	10.270418485392	0.0006993251404889999
2.4.2.41	10.243550433191599	4.60176585285879e-05
2.2.1.7	10.172980552252099	1.89836862173627e-07
3.4.22.16	10.0368109815268	2.7355051956344e-27
6.3.2.19	10.0028893286997	3.41035289654939e-05
3.4.19.12	9.916214298388232	0.002258503362328
3.4.22.16	9.91322426103187	1.9630063652764302e-11
3.4.23.40	9.66848875071815	2.46605977528037e-11
1.4.3.21	9.58629396408116	0.00022760102328699998
3.5.1.9	9.45850911100761	0.002214971850436
3.3.2.10	9.430599169126019	2.53701763529932e-06
2.7.1.23,2.7.1.86	9.33871002572161	0.000392624794842
2.4.2.41	9.250766357303892	0.000680835709565
1.10.2.2	9.211490888203109	5.92402920316886e-17
4.1.99.17	9.17726507334182	0.003385114752417
2.7.1.21	9.09874920661824	0.000719050770082
3.4.23.12	9.01444512283972	0.00012104339014399999
2.4.2.41	8.957683974823778	1.60314740606604e-10
